,wikidata_uri,company name,description,country,instance of,inception,official website,industry,founded by
89,http://www.wikidata.org/entity/Q2064074,United Overseas Bank,Singaporean multinational banking organization,Singapore,"['credit institution' 'bank' 'financial institution' 'public company'
 'business']",1935-01-01,https://www.uobgroup.com/,['financial sector' 'financial services'],Wee Kheng Chiang
90,http://www.wikidata.org/entity/Q2038986,Siam Commercial Bank,credit institution,Thailand,"['bank' 'public company' 'credit institution' 'financial institution'
 'business']",1907-01-30,http://www.scb.co.th,"['insurance' 'financial services' 'Siam Commercial Bank'
 'financial sector' 'economics of banking']",Jayanta Mongkol
91,http://www.wikidata.org/entity/Q2044983,Federal Bank,large commercial bank located in India,India,['bank' 'financial institution' 'business'],1945-01-01,https://www.federalbank.co.in/,['financial services' 'financial sector' 'economics of banking'],K.P Hormis
92,http://www.wikidata.org/entity/Q2164364,Brouwerij Omer Vander Ghinste,"brewery in Bellegem, Kortrijk, Flanders, Belgium",Belgium,['brewery'],1892-05-17,http://www.omervanderghinste.be/,['brewing'],Omer Vander Ghinste
93,http://www.wikidata.org/entity/Q2201225,Italian National Labor Bank,Italian bank headquartered in Rome,Italy,['financial institution' 'bank' 'business'],1913-01-01,https://www.bnl.it/,['financial services' 'economics of banking'],Government of Italy
94,http://www.wikidata.org/entity/Q2289193,Sierra Nevada Brewing Company,brewery in the United States,United States of America,['brewery'],1979-01-01,http://www.sierranevada.com,['brewing'],Ken Grossman
95,http://www.wikidata.org/entity/Q2666775,Bank Hapoalim B.M.,Israel’s largest bank,Israel,['bank' 'enterprise' 'public company' 'business'],1921-01-01,https://www.bankhapoalim.co.il,['financial services'],Histadrut
96,http://www.wikidata.org/entity/Q2882033,UniCredit Banca di Roma,former Italian bank merged in the UniCredit,Italy,['business' 'enterprise' 'bank'],1992-08-01,http://www.bancaroma.it/,['economics of banking'],Fondazione Roma
97,http://www.wikidata.org/entity/Q2743499,Punjab National Bank,Indian multinational bank,India,['bank' 'credit institution' 'brand' 'business'],1894-05-19,https://www.pnbindia.com/,['financial sector'],Lala Lajpat Rai
98,http://www.wikidata.org/entity/Q2882652,Bank of Ceylon,government-owned Sri Lanka commercial bank,Sri Lanka,['bank' 'financial institution' 'business'],1939-01-01,http://www.boc.lk/,['financial sector' 'financial services' 'economics of banking'],Ernest de Silva
99,http://www.wikidata.org/entity/Q2882046,Banca Intesa Beograd,Serbian banking and financial services company,Serbia,['enterprise' 'business' 'bank'],1991-10-15,https://www.bancaintesa.rs/,['financial sector'],Miroslav Mišković
100,http://www.wikidata.org/entity/Q3532083,Seylan Bank,publicly owned Commercial Bank in Sri Lanka,Sri Lanka,['commercial bank' 'business' 'bank' 'financial institution'],1987-01-01,https://www.seylan.lk/,['financial sector' 'financial services' 'economics of banking'],Lalith Kotelawala
101,http://www.wikidata.org/entity/Q3633712,Banca Mediolanum,Italian banking conglomerate,Italy,['bank' 'enterprise' 'business'],1991-01-01,http://www.bancamediolanum.it,['financial services'],Ennio Doris
102,http://www.wikidata.org/entity/Q3037053,Hilton Athens,"hotel in Athens, Greece",Greece,['hotel' 'building'],1963-01-01,https://www.hiltonhotels.de/griechenland/hilton-athens/,['hospitality industry'],Conrad Hilton
103,http://www.wikidata.org/entity/Q3633749,Sella Bank,Italian private credit institution,Italy,['bank' 'enterprise' 'business'],1886-01-01,https://sellagroup.eu/,['financial sector' 'financial services' 'economics of banking'],Vittorio Sella
104,http://www.wikidata.org/entity/Q3661911,Carispezia,Italian bank,Italy,['bank'],1842-01-01,http://www.credit-agricole.it,['financial services'],Carlo Alberto I of Sardinia
105,http://www.wikidata.org/entity/Q125256589,VINAStech,Ugandan Information Technology Company,Uganda,['enterprise' 'limited company' 'business'],2018-01-19,https://www.vinas.tech/,['information technology' 'digital marketing' 'consulting company'],Nashaba Victor
106,http://www.wikidata.org/entity/Q158888,Yamaha Motor Company,Japanese motorcycle manufacturer,Japan,['motorcycle manufacturer' 'subsidiary' 'public company'],1955-07-01,https://global.yamaha-motor.com/,['mechanical engineering' 'automotive industry'],Genichi Kawakami
107,http://www.wikidata.org/entity/Q523452,Gerber Products Company,a purveyor of baby food and baby products,United States of America,['subsidiary' 'business'],1927-01-01,http://gerber.com/,['infant equipment' 'food industry'],Daniel Frank Gerber
108,http://www.wikidata.org/entity/Q571943,Ford Germany,automotive manufacturing subsidiary of Ford Motor Company,German Reich,['subsidiary' 'automobile manufacturer' 'business'],1925-01-01,https://www.ford.de/,['manufacture of motor vehicles' 'automotive industry'],Henry Ford
109,http://www.wikidata.org/entity/Q577166,Poly Real Estate,company,People's Republic of China,['subsidiary' 'public company' 'business'],1992-01-01,http://www.gzpoly.com/,['real estate development'],China Poly Group Corporation
110,http://www.wikidata.org/entity/Q953040,Searchlight Pictures,American film distribution company,United States of America,"['subsidiary' 'film studio' 'film production company'
 'television production company']",1994-01-01,https://www.searchlightpictures.com/,['film industry'],Tom Rothman
111,http://www.wikidata.org/entity/Q217673,Vespa,Italian scooter,Italy,['subsidiary' 'brand' 'motor scooter' 'business'],1946-04-23,https://www.vespa.com/,['automotive industry' 'motor scooter'],Enrico Piaggio
112,http://www.wikidata.org/entity/Q745394,Gilera,Italian motorcycle company,Italy,['motorcycle manufacturer' 'subsidiary'],1909-01-01,http://www.gilera.com,['automotive industry'],Giuseppe Gilera
113,http://www.wikidata.org/entity/Q817107,Benelli,motorcycle manufacturer of Italy,Italy,['subsidiary' 'motorcycle manufacturer'],1911-01-01,https://www.benelli.com/,['automotive industry'],Giuseppe Benelli
114,http://www.wikidata.org/entity/Q156376,Vimeo,American video hosting platform,United States of America,"['subsidiary' 'business' 'online community' 'online video platform'
 'website' 'video streaming service']",2004-01-01,https://vimeo.com/,['online video platform'],IAC
115,http://www.wikidata.org/entity/Q271812,Ducati,Italian company that designs and manufactures motorcycles,Italy,['subsidiary' 'holding company' 'motorcycle manufacturer'],1926-01-01,https://www.ducati.com/,['automotive industry'],Antonio Cavalieri Ducati
116,http://www.wikidata.org/entity/Q1068628,Calvin Klein,American fashion house,United States of America,['business' 'subsidiary' 'brand' 'fashion label'],1968-01-01,https://www.calvinklein.com,['clothing industry' 'fashion'],Calvin Klein
117,http://www.wikidata.org/entity/Q542511,Hoechst,German company,Germany,['public company' 'subsidiary' 'enterprise'],1863-01-02,http://www.hoechst.de/,"['information technology' 'pharmaceutical industry' 'plastics industry'
 'paint industry' 'chemical industry']",Adolf von Brüning
118,http://www.wikidata.org/entity/Q133928,X Development,semi-secret research and development company by Alphabet Inc.,United States of America,['laboratory' 'subsidiary'],2010-01-01,https://x.company/,['research and development'],Sebastian Thrun
119,http://www.wikidata.org/entity/Q200491,Activision Publishing,American video game publisher,United States of America,['subsidiary' 'video game developer' 'video game publisher'],1979-10-01,https://www.activision.com,['video game industry'],Bob Whitehead
120,http://www.wikidata.org/entity/Q242446,Lucasfilm,American film and television production company,United States of America,['subsidiary' 'film production company' 'television production company'],1971-01-01,https://www.lucasfilm.com/,['film industry'],George Lucas
121,http://www.wikidata.org/entity/Q389251,Kobo Inc.,Canadian subsidiary of Japanese e-commerce conglomerate Rakuten,Taiwan,['subsidiary'],2009-12-01,https://www.kobo.com,['retail'],Michael Serbinis
122,http://www.wikidata.org/entity/Q724759,NBCUniversal,American media and entertainment conglomerate,United States of America,['subsidiary' 'enterprise'],1926-01-01,https://nbcuniversal.com,['television'],Vivendi
123,http://www.wikidata.org/entity/Q1093559,Honda Racing Corporation,motorsport subsidiary of Honda,Japan,['subsidiary'],1982-09-01,https://honda.racing/ja,['automotive industry'],Honda
124,http://www.wikidata.org/entity/Q507269,Bandai,Japanese toy making and video game company,Japan,['business' 'subsidiary' 'video game developer' 'manufacturer'],1950-07-05,https://www.bandai.com/,['video game industry'],Naoharu Yamashina
